ministry_name,start_order,end_order,start_gaz,end_gaz,name_clean
ministry of commerce & industry,"Friday, 15 October 1999",13-03-2020,"Friday, 15 October 1999",13-03-2020,commerce & industry
ministry of commerce & industry,"Saturday, 14 January 1961","Friday, 19 July 1963","Wednesday, 18 January 1961","Saturday, 20 July 1963",commerce & industry
ministry of community development & cooperation,"Saturday, 14 January 1961","Thursday, 26 April 1962","Wednesday, 18 January 1961","Saturday, 28 April 1962",community development & cooperation
ministry of community development & cooperation,"Friday, 8 February 1963","Tuesday, 25 January 1966","Monday, 11 February 1963","Friday, 28 January 1966",community development & cooperation
ministry of defence,"Saturday, 14 January 1961",13-03-2020,"Wednesday, 18 January 1961",13-03-2020,defence
ministry of education,"Saturday, 14 January 1961","Tuesday, 18 February 1969","Wednesday, 18 January 1961","Wednesday, 19 February 1969",education
ministry of education,"Friday, 4 January 1985","Wednesday, 25 September 1985","Friday, 4 January 1985","Wednesday, 25 September 1985",education
ministry of external affairs,"Saturday, 14 January 1961",13-03-2020,"Wednesday, 18 January 1961",13-03-2020,external affairs
ministry of finance,"Thursday, 10 April 2003",13-03-2020,"Thursday, 10 April 2003",13-03-2020,finance
ministry of finance,"Saturday, 14 January 1961","Tuesday, 2 July 2002","Wednesday, 18 January 1961","Tuesday, 2 July 2002",finance
ministry of food & agriculture,"Saturday, 14 January 1961","Tuesday, 25 January 1966","Wednesday, 18 January 1961","Friday, 28 January 1966",food & agriculture
ministry of health,"Saturday, 14 January 1961","Tuesday, 25 January 1966","Wednesday, 18 January 1961","Friday, 28 January 1966",health
ministry of home affairs,"Saturday, 14 January 1961",13-03-2020,"Wednesday, 18 January 1961",13-03-2020,home affairs
ministry of information & broadcasting,"Tuesday, 6 January 2004",13-03-2020,"Tuesday, 6 January 2004",13-03-2020,information & broadcasting
ministry of information & broadcasting,"Saturday, 14 January 1961","Friday, 15 October 1999","Wednesday, 18 January 1961","Friday, 15 October 1999",information & broadcasting
ministry of irrigation & power,"Saturday, 14 January 1961","Friday, 11 October 1974","Wednesday, 18 January 1961","Friday, 11 October 1974",irrigation & power
ministry of irrigation & power,"Friday, 4 January 1985","Wednesday, 25 September 1985","Friday, 4 January 1985","Wednesday, 25 September 1985",irrigation & power
ministry of labour & employment,"Thursday, 27 May 2004",13-03-2020,"Thursday, 27 May 2004",13-03-2020,labour & employment
ministry of labour & employment,"Saturday, 14 January 1961","Tuesday, 25 January 1966","Wednesday, 18 January 1961","Friday, 28 January 1966",labour & employment
ministry of law,"Saturday, 14 January 1961","Monday, 3 May 1971","Wednesday, 18 January 1961","Wednesday, 5 May 1971",law
ministry of railways,"Friday, 5 July 1991",13-03-2020,"Friday, 5 July 1991",13-03-2020,railways
ministry of railways,"Saturday, 14 January 1961","Monday, 9 April 1962","Wednesday, 18 January 1961","Wednesday, 11 April 1962",railways
ministry of rehabilitation,"Saturday, 14 January 1961","Monday, 9 April 1962","Wednesday, 18 January 1961","Wednesday, 11 April 1962",rehabilitation
ministry of rehabilitation,"Wednesday, 15 April 1964","Tuesday, 25 January 1966","Thursday, 16 April 1964","Friday, 28 January 1966",rehabilitation
ministry of scientific research & cultural affairs,"Saturday, 14 January 1961","Thursday, 21 November 1963","Wednesday, 18 January 1961","Saturday, 23 November 1963",scientific research & cultural affairs
"ministry of steel, mines & fuel","Saturday, 14 January 1961","Monday, 9 April 1962","Wednesday, 18 January 1961","Wednesday, 11 April 1962","steel, mines & fuel"
ministry of transport & communications,"Saturday, 14 January 1961","Sunday, 1 September 1963","Wednesday, 18 January 1961","Monday, 2 September 1963",transport & communications
