id,ls_number,name,gender,party,department,rank,rank_comment,appointment_begin,appointment_end,house,constituency,state,name_clean,error,comments
1001,1,Abid Ali,M,INC,,DCM,,"Tuesday, 12 August 1952","Wednesday, 17 April 1957",Rajya Sabha,,Bombay,labour,before_first_ammendment,
1002,1,Maulana Abul Kalam Azad,M,INC,,CM,,"Tuesday, 13 May 1952","Wednesday, 17 April 1957",Lok Sabha,Gurgaon,Punjab,education,before_first_ammendment,
1056,1,Maulana Abul Kalam Azad,M,INC,,CM,,"Tuesday, 13 May 1952","Thursday, 17 April 1957",Lok Sabha,Gurgaon,Punajb,education,before_first_ammendment,
1157,2,Maulana Abul Kalam Azad,M,INC,,CM,,"Friday, 17 April 1957","Saturday, 22 February 1958",Lok Sabha,Gurgaon,Punajb,education,before_first_ammendment,
1005,1,Ajit Prasad Jain,M,INC,,CM,,"Tuesday, 13 May 1952","Wednesday, 11 August 1954",Lok Sabha,Tumkur,Mysore,rehabilitation,before_first_ammendment,
1006,1,Ajit Prasad Jain,M,INC,,CM,,"Wednesday, 11 August 1954","Thursday, 4 April 1957",Lok Sabha,Tumkur,Mysore,rehabilitation,before_first_ammendment,
1007,1,Ajit Prasad Jain,M,INC,,CM,,"Thursday, 25 November 1954","Thursday, 4 April 1957",Lok Sabha,Tumkur,Mysore,food & agriculture,before_first_ammendment,
1008,1,Arun Chandra Guha,M,INC,,DCM,,"Wednesday, 18 March 1953","Tuesday, 7 December 1954",Lok Sabha,Barasat,West Bengal,finance,before_first_ammendment,
1009,1,Arun Chandra Guha,M,INC,,CM,,"Tuesday, 7 December 1954","Wednesday, 17 April 1957",Lok Sabha,Barasat,West Bengal,revenue & defence expenditure,before_first_ammendment,
1010,1,B N Datar,M,INC,,DCM,,"Tuesday, 12 August 1952","Tuesday, 14 February 1956",Lok Sabha,Belgaum,Mysore,home affairs,before_first_ammendment,
1011,1,B N Datar,M,INC,,MoS,,"Tuesday, 14 February 1956","Wednesday, 17 April 1957",Lok Sabha,Belgaum,Mysore,home affairs,before_first_ammendment,
1012,1,B V Keskar,M,INC,,MoS,,"Tuesday, 13 May 1952","Wednesday, 17 April 1957",Lok Sabha,Musafirkhana,Uttar Pradesh,information & broadcasting,before_first_ammendment,
1013,1,Bali Ram Bhagat,M,INC,,DCM,,"Wednesday, 4 January 1956","Wednesday, 17 April 1957",Lok Sabha,Arrah,Bihar,finance,before_first_ammendment,
1014,1,C D Deshmukh,M,INC,,CM,,"Tuesday, 13 May 1952","Wednesday, 1 August 1956",Lok Sabha,Kolaba,Bombay,finance,before_first_ammendment,
1015,1,D P Karmakar,M,INC,,DCM,,"Tuesday, 13 May 1952","Tuesday, 12 August 1952",Lok Sabha,Dharwad North,Mysore,commerce & industry,before_first_ammendment,
1016,1,D P Karmakar,M,INC,,CM,,"Tuesday, 12 August 1952","Thursday, 21 August 1952",Lok Sabha,Dharwad North,Mysore,commerce & industry,before_first_ammendment,
1017,1,D P Karmakar,M,INC,,CM,,"Thursday, 21 August 1952","Wednesday, 13 June 1956",Lok Sabha,Dharwad North,Mysore,commerce,before_first_ammendment,
1018,1,D P Karmakar,M,INC,,MoS,,"Wednesday, 13 June 1956","Wednesday, 17 April 1957",Lok Sabha,Dharwad North,Mysore,trade,before_first_ammendment,
1019,1,Govind Ballabh Pant,M,INC,,CM,,"Monday, 3 January 1955","Monday, 10 January 1955",Rajya Sabha,,Uttar Pradesh,w/o portfolio,before_first_ammendment,
1020,1,Govind Ballabh Pant,M,INC,,CM,,"Monday, 10 January 1955","Thursday, 17 April 1957",Rajya Sabha,,Uttar Pradesh,home affairs,before_first_ammendment,
1021,1,Govind Ballabh Pant,M,INC,,CM,Additional Charge,"Thursday, 30 August 1956","Wednesday, 14 November 1956",Rajya Sabha,,Uttar Pradesh,heavy industry,before_first_ammendment,
1022,1,Ajit Prasad Jain,M,INC,,CM,,"Friday, 5 April 1957","Wednesday, 17 April 1957",Lok Sabha,Tumkur,Mysore,rehabilitation,before_first_ammendment,
1023,1,H V Pataskar,M,INC,,CM,,"Tuesday, 7 December 1954","Tuesday, 23 August 1955",Lok Sabha,Jalgaon,Bombay,law,before_first_ammendment,
1024,1,Ajit Prasad Jain,M,INC,,CM,,"Friday, 5 April 1957","Wednesday, 17 April 1957",Lok Sabha,Tumkur,Mysore,food & agriculture,before_first_ammendment,
1025,1,H V Pataskar,M,INC,,CM,,"Sunday, 28 August 1955","Thursday, 13 December 1956",Lok Sabha,Jalgaon,Bombay,legal affairs,before_first_ammendment,
