row_id,ls_number,NAME,GENDER,PARTY,DEPARTMENT,RANK,RANK_COMMENT,appointment_begin,appointment_end,HOUSE,CONSTITUENCY,STATE,ministry_name,ministry_category,ministry_category2,comments,pid,start_source,end_source,appointment_begin_in_datetime,appointment_end_in_datetime,appointment_difference_in_years,starting_year,end_year,list_of_years
1001,1,Abid Ali,M,INC,,DCM,NOT_APPLICABLE,"Tuesday, 12 August 1952","Wednesday, 17 April 1957",Rajya Sabha,NOT_APPLICABLE,Bombay,labour,"labour, employment, rehabilitation",,,,Council of Ministers Publication,Council of Ministers Publication,12/08/52,17/04/57,4.679083075,01/01/52,01/01/57,"1953,1954,1955,1956,1957,"
1002,1,Maulana Abul Kalam Azad,M,INC,,CM,NOT_APPLICABLE,"Tuesday, 13 May 1952","Wednesday, 17 April 1957",Lok Sabha,Gurgaon,Punjab,education,education,,,,Council of Ministers Publication,Council of Ministers Publication,13/05/52,17/04/57,4.928232613,01/01/52,01/01/57,"1953,1954,1955,1956,1957,"
1003,1,Maulana Abul Kalam Azad,M,INC,,CM,NOT_APPLICABLE,"Tuesday, 13 May 1952","Thursday, 17 April 1957",Lok Sabha,Gurgaon,Punajb,education,education,,,,Council of Ministers Publication,Council of Ministers Publication,13/05/52,17/04/57,4.928232613,01/01/52,01/01/57,"1953,1954,1955,1956,1957,"
1004,2,Maulana Abul Kalam Azad,M,INC,,CM,NOT_APPLICABLE,"Friday, 17 April 1957","Saturday, 22 February 1958",Lok Sabha,Gurgaon,Punajb,education,education,,,,Council of Ministers Publication,Council of Ministers Publication,17/04/57,22/02/58,0.851489079,01/01/57,01/01/58,"1958,"
1005,1,Ajit Prasad Jain,M,INC,,CM,NOT_APPLICABLE,"Tuesday, 13 May 1952","Wednesday, 11 August 1954",Lok Sabha,Tumkur,Mysore,rehabilitation,"labour, employment, rehabilitation",,,,Council of Ministers Publication,Council of Ministers Publication,13/05/52,11/08/54,2.245083746,01/01/52,01/01/54,"1953,1954,"
1006,1,Ajit Prasad Jain,M,INC,,CM,NOT_APPLICABLE,"Wednesday, 11 August 1954","Thursday, 4 April 1957",Lok Sabha,Tumkur,Mysore,rehabilitation,"labour, employment, rehabilitation",,,,Council of Ministers Publication,Council of Ministers Publication,11/08/54,04/04/57,2.647556076,01/01/54,01/01/57,"1955,1956,1957,"
1007,1,Ajit Prasad Jain,M,INC,,CM,NOT_APPLICABLE,"Thursday, 25 November 1954","Thursday, 4 April 1957",Lok Sabha,Tumkur,Mysore,food & agriculture,"food, consumer affairs, public distribution",agriculture,,,Council of Ministers Publication,Council of Ministers Publication,25/11/54,04/04/57,2.357337933,01/01/54,01/01/57,"1955,1956,1957,"
1008,1,Arun Chandra Guha,M,INC,,DCM,NOT_APPLICABLE,"Wednesday, 18 March 1953","Tuesday, 7 December 1954",Lok Sabha,Barasat,West Bengal,finance,finance,,,,Council of Ministers Publication,Council of Ministers Publication,18/03/53,07/12/54,1.722143507,01/01/53,01/01/54,"1954,"
1009,1,Arun Chandra Guha,M,INC,,CM,NOT_APPLICABLE,"Tuesday, 7 December 1954","Wednesday, 17 April 1957",Lok Sabha,Barasat,West Bengal,revenue & defence expenditure,defence,finance,,,Council of Ministers Publication,Council of Ministers Publication,07/12/54,17/04/57,2.36007584,01/01/54,01/01/57,"1955,1956,1957,"
1010,1,B N Datar,M,INC,,DCM,NOT_APPLICABLE,"Tuesday, 12 August 1952","Tuesday, 14 February 1956",Lok Sabha,Belgaum,Mysore,home affairs,home affairs,,,,Council of Ministers Publication,Council of Ministers Publication,12/08/52,14/02/56,3.507258876,01/01/52,01/01/56,"1953,1954,1955,1956,"
