row_id,ls_number,NAME,GENDER,PARTY,DEPARTMENT,RANK,RANK_COMMENT,appointment_begin,appointment_end,HOUSE,CONSTITUENCY,STATE,ministry_name,ministry_category,ministry_category2,comments,pid,start_source,end_source,appointment_begin_in_datetime,appointment_end_in_datetime,appointment_difference_in_years,starting_year,end_year,list_of_years
1001,1,Abid Ali,M,INC,,DCM,NOT_APPLICABLE,"Tuesday, 12 August 1952","Wednesday, 17 April 1957",Rajya Sabha,NOT_APPLICABLE,Bombay,labour,"labour, employment, rehabilitation",,,,Council of Ministers Publication,Council of Ministers Publication,1952-08-12,1957-04-17,4.679083074943359,1952-01-01,1957-01-01,"1953,1954,1955,1956,1957,"
1002,1,Maulana Abul Kalam Azad,M,INC,,CM,NOT_APPLICABLE,"Tuesday, 13 May 1952","Wednesday, 17 April 1957",Lok Sabha,Gurgaon,Punjab,education,education,,,,Council of Ministers Publication,Council of Ministers Publication,1952-05-13,1957-04-17,4.928232612579314,1952-01-01,1957-01-01,"1953,1954,1955,1956,1957,"
1003,1,Maulana Abul Kalam Azad,M,INC,,CM,NOT_APPLICABLE,"Tuesday, 13 May 1952","Thursday, 17 April 1957",Lok Sabha,Gurgaon,Punajb,education,education,,,,Council of Ministers Publication,Council of Ministers Publication,1952-05-13,1957-04-17,4.928232612579314,1952-01-01,1957-01-01,"1953,1954,1955,1956,1957,"
1004,2,Maulana Abul Kalam Azad,M,INC,,CM,NOT_APPLICABLE,"Friday, 17 April 1957","Saturday, 22 February 1958",Lok Sabha,Gurgaon,Punajb,education,education,,,,Council of Ministers Publication,Council of Ministers Publication,1957-04-17,1958-02-22,0.8514890791734259,1957-01-01,1958-01-01,"1958,"
1005,1,Ajit Prasad Jain,M,INC,,CM,NOT_APPLICABLE,"Tuesday, 13 May 1952","Wednesday, 11 August 1954",Lok Sabha,Tumkur,Mysore,rehabilitation,"labour, employment, rehabilitation",,,,Council of Ministers Publication,Council of Ministers Publication,1952-05-13,1954-08-11,2.245083745730576,1952-01-01,1954-01-01,"1953,1954,"
1006,1,Ajit Prasad Jain,M,INC,,CM,NOT_APPLICABLE,"Wednesday, 11 August 1954","Thursday, 4 April 1957",Lok Sabha,Tumkur,Mysore,rehabilitation,"labour, employment, rehabilitation",,,,Council of Ministers Publication,Council of Ministers Publication,1954-08-11,1957-04-04,2.647556075757887,1954-01-01,1957-01-01,"1955,1956,1957,"
1007,1,Ajit Prasad Jain,M,INC,,CM,NOT_APPLICABLE,"Thursday, 25 November 1954","Thursday, 4 April 1957",Lok Sabha,Tumkur,Mysore,food & agriculture,"food, consumer affairs, public distribution",agriculture,,,Council of Ministers Publication,Council of Ministers Publication,1954-11-25,1957-04-04,2.357337933017105,1954-01-01,1957-01-01,"1955,1956,1957,"
1008,1,Arun Chandra Guha,M,INC,,DCM,NOT_APPLICABLE,"Wednesday, 18 March 1953","Tuesday, 7 December 1954",Lok Sabha,Barasat,West Bengal,finance,finance,,,,Council of Ministers Publication,Council of Ministers Publication,1953-03-18,1954-12-07,1.7221435073957714,1953-01-01,1954-01-01,"1954,"
1009,1,Arun Chandra Guha,M,INC,,CM,NOT_APPLICABLE,"Tuesday, 7 December 1954","Wednesday, 17 April 1957",Lok Sabha,Barasat,West Bengal,revenue & defence expenditure,defence,finance,,,Council of Ministers Publication,Council of Ministers Publication,1954-12-07,1957-04-17,2.3600758400240935,1954-01-01,1957-01-01,"1955,1956,1957,"
1010,1,B N Datar,M,INC,,DCM,NOT_APPLICABLE,"Tuesday, 12 August 1952","Tuesday, 14 February 1956",Lok Sabha,Belgaum,Mysore,home affairs,home affairs,,,,Council of Ministers Publication,Council of Ministers Publication,1952-08-12,1956-02-14,3.5072588759522785,1952-01-01,1956-01-01,"1953,1954,1955,1956,"
